Global_ID,Plot,ENTRY,REP,IBLK,Rng,Pas,Name,Identity1,Pedigree,Trial,Origin,Selection,Description1,Year,Location,Planter,Harvester,PLOTWT,MOIST,FLWR,HT,LDG,MTR,DS,P_FT,NOTES,yield,CBB,DD,SDWT2,StandCount_gr,boxes_gt,pred_count_01,boxes_gt_10m_6_13_22,pred_count_7m_6_10_22,plant_pop_total,avg_dist_plot,2pl_plot,gap_plant_plot
2201_2006,2006,33,2,1,1,14,B21715,NA,B16501/B16504,2201,18B228-07-06,20T2337,18A0228-18L225-18-19T579-19T1264-20T2337,2022,SVREC,182,14,1460.59,19.62,47,59,2,101,4,16,NA,25.81,2,3,20.4,148,129,118,114,91,129,7.74406793,14,7
2201_2007,2007,6,2,2,2,9,B19309,NA,B15414/B16504,2201,17B208-04-02,18-19T1054,17A0208-17L224-17-18T599-18T1223-18-19T1054,2022,SVREC,106,392,1505.95,20.03,49,48,2,101,6,16,NA,26.47,1,2,22.99,154,114,102,87,59,114,9.00057716,1,9
2201_2008,2008,34,2,2,2,10,B21711,NA,B16501/B15430,2201,18B227-08-06,20T2320,18A0227-18L224-18-19T570-19T1259-20T2320,2022,SVREC,129,391,1283.69,19.85,47,38,1,98,5,16,NA,22.62,1,1,24.93,144,118,101,90,61,118,9.057221905,5,13
2201_2009,2009,18,2,2,2,11,B20542,NA,B16501/B15430,2201,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,2022,SVREC,132,390,1415.23,19.75,47,42,1,100,5,16,NA,24.96,1,1,24.23,149,121,105,99,75,121,8.645052547,8,12
2201_2010,2010,28,2,2,2,12,B21724,NA,B17996/B17540,2201,18B344-01-05,20T2585,18A0344-18L337-18-19T998-19T1463-20T2585,2022,SVREC,155,389,1043.28,19.86,48,41,3,102,4,16,NA,18.38,1,3,17.1,134,112,102,95,51,112,8.917182063,5,15
2201_2011,2011,31,2,2,2,13,B21707,NA,B15430/B16504,2201,18B217-09-04,20T2288,18A0217-18L216-18-19T507-19T1227-20T2288,2022,SVREC,158,388,1065.96,19.89,47,45,2,101,4,16,NA,18.77,1,2,20.63,132,120,113,102,77,120,8.8393339,3,8
2201_2012,2012,14,2,2,2,14,B20617,NA,B17106/N14218,2201,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,2022,SVREC,181,387,1020.6,18.87,47,37,1,97,4,16,NA,18.2,4,2,19.85,155,130,119,102,97,130,8.116463554,7,7
2201_2013,2013,17,2,3,3,9,B10244,ZENITH,"B04644/ZORRO, ZENITH",2201,08B118 -02-02,NA,NA,2022,SVREC,107,409,1460.59,20.18,48,47,1,101,4,16,NA,25.63,1,2,25.5,130,95,96,95,64,95,10.99835054,0,19
2201_2014,2014,36,2,3,3,10,B21705,NA,B14302/B15430,2201,18B211-05-07,20T2264,18A0211-18L210-18-19T472-19T1209-20T2264,2022,SVREC,128,410,1111.32,20.47,49,45,2,102,5,16,NA,19.43,1,1,23.78,129,109,101,92,62,109,8.253152516,8,12
2201_2015,2015,5,2,3,3,11,B20590,NA,B16505/B16504,2201,18B252-06-01,19-20T787,18A0252-18L248-18-19T727-19T1341-19-20T787,2022,SVREC,133,411,943.49,19.32,48,37,1,100,4,16,NA,16.73,4,3,20.2,143,126,106,100,71,126,7.901786058,9,8
