image_id_ori,image_id,Type,SC
22021001,219,StandCount_gr,145
22021002,222,StandCount_gr,149
22021003,225,StandCount_gr,119
22021004,228,StandCount_gr,153
22021005,231,StandCount_gr,161
22021006,234,StandCount_gr,134
22021007,237,StandCount_gr,149
22021008,240,StandCount_gr,144
22021009,243,StandCount_gr,154
22021010,246,StandCount_gr,147
22021011,249,StandCount_gr,151
22021012,252,StandCount_gr,143
22021013,255,StandCount_gr,158
22021014,258,StandCount_gr,145
22021015,261,StandCount_gr,151
22021016,264,StandCount_gr,162
22021017,267,StandCount_gr,152
22021018,270,StandCount_gr,144
22021019,273,StandCount_gr,146
22021020,276,StandCount_gr,153
22021021,279,StandCount_gr,152
22021022,282,StandCount_gr,157
22021023,285,StandCount_gr,145
22021024,288,StandCount_gr,153
22021025,291,StandCount_gr,157
22021026,294,StandCount_gr,99
22021027,297,StandCount_gr,151
22021028,300,StandCount_gr,153
22021029,303,StandCount_gr,154
22021030,306,StandCount_gr,75
22022001,309,StandCount_gr,155
22022002,312,StandCount_gr,145
22022003,315,StandCount_gr,148
22022004,318,StandCount_gr,154
22022005,321,StandCount_gr,145
22022006,324,StandCount_gr,150
22022007,327,StandCount_gr,145
22022008,330,StandCount_gr,154
22022009,333,StandCount_gr,126
22022010,336,StandCount_gr,148
22022011,339,StandCount_gr,145
22022012,342,StandCount_gr,145
22022013,345,StandCount_gr,145
22022014,348,StandCount_gr,142
22022015,351,StandCount_gr,145
22022016,354,StandCount_gr,155
22022017,357,StandCount_gr,139
22022018,360,StandCount_gr,136
22022019,363,StandCount_gr,113
22022020,366,StandCount_gr,154
22022021,369,StandCount_gr,154
22022022,372,StandCount_gr,166
22022023,375,StandCount_gr,149
22022024,378,StandCount_gr,130
22022025,381,StandCount_gr,160
22022026,384,StandCount_gr,147
22022027,387,StandCount_gr,148
22022028,390,StandCount_gr,141
22022029,393,StandCount_gr,137
22022030,396,StandCount_gr,127
